eye,tStart,tEnd,duration
L,1247031,1247566,536
R,1247030,1247574,545
R,1247910,1248031,122
L,1247903,1248039,137
L,1249445,1249568,124
R,1249453,1249568,116
R,1250544,1250636,93
L,1250533,1250652,120
R,1251680,1251797,118
L,1251673,1251844,172
R,1254430,1254441,12
R,1255827,1256345,519
L,1256558,1256561,4
L,1257417,1258939,1523
R,1257912,1258970,1059
R,1261261,1261403,143
L,1261685,1261712,28
L,1261894,1262276,383
R,1263132,1263280,149
L,1263122,1263282,161
R,1264331,1265386,1056
L,1264324,1265388,1065
R,1266754,1266823,70
L,1266745,1266841,97
R,1267887,1267974,88
L,1267880,1267990,111
R,1269163,1269377,215
L,1269156,1269382,227
R,1270517,1270639,123
L,1270511,1270645,135
R,1271709,1271817,109
L,1271700,1271828,129
L,1274825,1278867,4043
R,1274873,1278877,4005
R,1279663,1279733,71
L,1279648,1279757,110
R,1280809,1280921,113
L,1280803,1280935,133
R,1282991,1283105,115
L,1282983,1283117,135
R,1286906,1287004,99
L,1286890,1287033,144
R,1287544,1287690,147
L,1287535,1287709,175
R,1288826,1288919,94
L,1288815,1288945,131
L,1295180,1295943,764
R,1295192,1295963,772
R,1300567,1300774,208
L,1300560,1300776,217
R,1302002,1302151,150
L,1301992,1302169,178
R,1304161,1304441,281
L,1304151,1304466,316
R,1304956,1305126,171
L,1304949,1305132,184
R,1306814,1307247,434
R,1307576,1307892,317
L,1306790,1307924,1135
R,1309549,1309742,194
L,1309553,1309761,209
R,1317018,1317868,851
L,1316984,1317872,889
L,1321030,1321520,491
R,1321069,1321538,470
R,1322523,1322631,109
L,1322510,1322644,135
L,1323840,1324057,218
R,1323831,1324059,229
R,1326122,1326339,218
R,1327110,1327274,165
L,1326128,1327294,1167
R,1328700,1328777,78
L,1328691,1328792,102
R,1330619,1330749,131
L,1330599,1330755,157
L,1332384,1332490,107
R,1332376,1332491,116
R,1334042,1334159,118
L,1334036,1334169,134
R,1335474,1335597,124
L,1335469,1335605,137
R,1336500,1336625,126
L,1336494,1336633,140
R,1337390,1337536,147
L,1337386,1337540,155
R,1345602,1345714,113
L,1345592,1345728,137
R,1347349,1347454,106
L,1347333,1347471,139
R,1349689,1349794,106
L,1349678,1349814,137
R,1352108,1352264,157
L,1352098,1352276,179
R,1353404,1353464,61
L,1353394,1353483,90
R,1359062,1359709,648
L,1359034,1359732,699
R,1360287,1361005,719
L,1360296,1361009,714
R,1362078,1362155,78
L,1362072,1362162,91
R,1363108,1363199,92
L,1363102,1363210,109
R,1363925,1364015,91
L,1363919,1364026,108
R,1365029,1365084,56
L,1365022,1365095,74
R,1365682,1365787,106
L,1365677,1365792,116
R,1366684,1366791,108
L,1366677,1366802,126
R,1367743,1367831,89
L,1367736,1367845,110
L,1369347,1369523,177
R,1369352,1369523,172
R,1376694,1376787,94
L,1376687,1376796,110
R,1378004,1378169,166
L,1377994,1378176,183
L,1379014,1379164,151
R,1379022,1379167,146
R,1382254,1383094,841
L,1382258,1383098,841
R,1385102,1385215,114
L,1385092,1385230,139
L,1386204,1386722,519
R,1386211,1386736,526
R,1388810,1388906,97
L,1388803,1388919,117
R,1392383,1392671,289
L,1392372,1392705,334
L,1398043,1398497,455
R,1398041,1398511,471
R,1398912,1398912,1
L,1398912,1398996,85
R,1401625,1402577,953
L,1401583,1402587,1005
L,1406980,1406990,11
R,1406990,1406990,1
R,1407197,1407278,82
R,1407865,1408130,266
L,1407186,1408335,1150
R,1411487,1411517,31
L,1411461,1411550,90
L,1412640,1413550,911
R,1412658,1413560,903
L,1414836,1415575,740
R,1414843,1415575,733
R,1416717,1416866,150
L,1416709,1416880,172
R,1418390,1418427,38
L,1418371,1418466,96
R,1418661,1418763,103
L,1418649,1418782,134
R,1420214,1420308,95
L,1420197,1420336,140
R,1421492,1421589,98
L,1421489,1421617,129
R,1422645,1422828,184
L,1422634,1422836,203
R,1427083,1427338,256
R,1427648,1428275,628
L,1427298,1428492,1195
L,1430278,1431048,771
R,1430295,1431076,782
R,1432062,1434080,2019
L,1432058,1434092,2035
R,1435898,1436090,193
L,1435889,1436098,210
R,1436965,1437084,120
L,1436957,1437097,141
L,1437579,1438234,656
R,1437584,1438242,659
R,1440652,1440754,103
L,1440643,1440774,132
R,1442134,1442255,122
L,1442125,1442275,151
R,1443849,1443987,139
L,1443842,1444004,163
R,1449673,1449799,127
L,1449658,1449825,168
R,1453641,1455015,1375
L,1453642,1455027,1386
L,1457183,1458214,1032
R,1457180,1458220,1041
R,1459661,1459815,155
L,1459652,1459824,173
R,1461120,1461664,545
R,1462414,1462510,97
L,1460593,1462712,2120
