eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
L,709169,709183,15,1076.7,210.9,1115.9,209.3,0.8,70
R,709169,709183,15,1105.1,210.9,1148.3,212.0,0.9,80
R,709232,709363,132,1143.1,216.0,1191.3,189.6,1.2,972
L,709234,709381,148,1122.9,219.9,1141.3,158.9,1.4,534
L,709498,709522,25,1141.3,189.5,1009.8,203.2,2.8,222
R,709499,709523,25,1175.9,201.2,1043.9,205.0,2.8,206
L,709830,709856,27,1013.3,218.3,1149.8,222.6,2.9,183
R,709830,709856,27,1039.4,222.4,1179.6,237.3,3.0,199
R,710196,710334,139,1180.9,261.0,1236.0,187.1,2.0,965
L,710191,710362,172,1167.7,246.6,1177.7,163.0,1.8,542
L,710559,710572,14,1177.6,196.1,1138.3,210.9,0.9,77
R,710560,710573,14,1212.1,198.9,1173.1,211.2,0.9,85
R,710759,710768,10,1160.1,219.5,1186.0,224.9,0.6,62
L,710759,710769,11,1124.0,209.9,1154.9,208.9,0.7,70
R,710898,711068,171,1180.4,237.6,1227.5,184.5,1.5,785
L,710893,711085,193,1151.3,211.9,1174.3,142.2,1.6,687
L,711459,711485,27,1164.1,203.8,1300.3,197.7,2.9,185
R,711458,711485,28,1195.0,223.1,1351.5,219.7,3.3,215
L,711744,711759,16,1305.8,201.2,1253.8,208.6,1.1,96
R,711743,711760,18,1347.9,219.9,1288.7,222.4,1.2,108
L,711996,712024,29,1252.8,208.5,1432.3,188.2,3.8,222
R,711995,712024,30,1285.4,227.0,1491.0,209.1,4.3,249
L,712205,712221,17,1453.4,193.5,1398.1,199.2,1.1,95
R,712205,712221,17,1498.8,201.6,1443.1,204.3,1.1,100
L,712351,712375,25,1400.4,203.5,1264.0,211.5,2.9,231
R,712351,712375,25,1441.4,200.4,1303.7,218.6,2.9,225
R,712500,712628,129,1291.1,229.3,1325.6,171.3,1.4,903
L,712495,712641,147,1266.1,227.3,1267.6,150.5,1.6,626
L,712782,712807,26,1269.5,185.3,1391.2,195.5,2.5,168
