,eye,fix_num,fix_word_num,norm_fix_word_num,norm_in_word_reg,norm_out_word_reg,zscored_zipf_fixdur_corr,zipf_fixdur_corr,zscored_word_length_fixdur_corr,word_length_fixdur_corr,norm_total_viewing,blink_num,blink_dur,blink_freq,sac_num,norm_sac_num,mean_pupil,pupil_slope,reading,run,page,is_MWreported,is_MWvalid,MW_start,MW_end,page_start,page_end,win_start,win_end,win_dur,task_start,norm_pupil,sub_id
307,L,31,31,3.833786791986466,0.2258064516129032,0.1612903225806451,-1.2393400222103435,-0.3790374195315659,0.866106088123514,0.2265666741086222,214.2258064516129,2,66.5,0.2473410833539655,32,3.957457333663449,1601.3839275880266,-0.0255606653106875,The Voynich Manuscript,4,6,False,False,,,4862.027,4918.277,4886.618,4894.704,8.08599999999933,4449.537,0.944345408831285,s10115
308,L,34,34,3.674881106787741,0.1764705882352941,0.088235294117647,-0.8383810641013041,-0.2724574182304482,-0.2087523964149517,-0.0052125318658672,236.8235294117647,0,,,35,3.782965845222674,1703.8509511456982,-0.019633890125572,Serena Williams,1,6,False,False,,,1580.491,1636.115,1607.888,1617.14,9.251999999999953,1214.883,1.004770808128903,s10115
309,L,25,25,3.5950532067876035,0.24,0.12,-0.5878251324490237,-0.205856458253291,1.4559926755588566,0.353768019046112,227.96,2,70.0,0.2876042565430082,26,3.738855335059108,1568.5491563608473,-0.0070282802637345,Pluto,5,6,False,False,,,5774.394,5828.244,5802.717000000001,5809.671,6.953999999999724,5405.454,0.9249825534133996,s10115
310,L,27,27,4.204297726564916,0.074074074074074,0.074074074074074,-0.6723047862336896,-0.2283122269253532,-0.5578373946513472,-0.0804881563994355,201.77777777777777,0,,,27,4.204297726564916,1539.0093428838368,-0.0006380759082956,Serena Williams,1,3,False,False,,,1402.534,1455.519,1433.2610000000004,1439.6830000000004,6.4220000000000255,1214.883,0.9075627537300324,s10115
311,L,6,6,2.982107355865232,0.1666666666666666,0.0,3.3720796795391847,0.846736709896431,-1.2687499692440007,-0.2337871761556204,276.5,0,,,7,3.479125248509437,1536.0815109343937,0.0038381179955894,Pluto,5,9,False,False,,,5951.595,6003.136,5983.003000000001,5985.015,2.011999999999716,5405.454,0.9058361942138204,s10115
312,L,24,24,3.718048024787029,0.125,0.1666666666666666,-0.4785199268904396,-0.1768017415172087,-0.36539373275775505,-0.0389901919788703,216.91666666666663,0,,,25,3.872966692486488,1810.2523625096824,0.0911207695196206,Serena Williams,1,2,False,False,,,1354.123,1402.371,1387.0190000000007,1393.4740000000006,6.454999999999927,1214.883,1.0675163387813107,s10115
313,L,0,0,,,,,,,,0.0,0,,,0,,,,Pluto,5,8,False,False,,,5888.835,5936.427,,,,5405.454,,s10115
314,L,0,0,,,,,,,,0.0,0,,,0,,,,History of Film,2,1,False,False,,,2330.214,2373.818,,,,2260.33,,s10115
315,L,0,0,,,,,,,,0.0,0,,,0,,,,Prisoners Dilemma,3,5,False,False,,,3669.564,3722.626,,,,3342.825,,s10115
316,L,0,0,,,,,,,,0.0,0,,,0,,,,History of Film,2,7,False,False,,,2685.334,2739.55,,,,2260.33,,s10115
317,L,0,0,,,,,,,,0.0,0,,,0,,,,Serena Williams,1,1,False,False,,,1280.53,1335.997,,,,1214.883,,s10115
318,L,0,0,,,,,,,,0.0,0,,,0,,,,The Voynich Manuscript,4,3,False,False,,,4667.066,4719.465,,,,4449.537,,s10115
319,L,0,0,,,,,,,,0.0,0,,,0,,,,Prisoners Dilemma,3,2,False,False,,,3468.653,3523.657,,,,3342.825,,s10115
320,L,0,0,,,,,,,,0.0,0,,,0,,,,The Voynich Manuscript,4,0,False,False,,,4449.637,4512.799,,,,4449.537,,s10115
321,L,39,39,3.7302725968436414,0.1025641025641025,0.2564102564102564,-0.5529817197727757,-0.1965946350834493,0.4869720250550138,0.1448113608651008,223.69230769230768,3,106.66666666666669,0.2869440459110493,38,3.6346245815399594,2229.3585979342006,-0.0670479495231375,History of Film,2,4,True,True,2521.989,2532.444,2521.872,2534.578,2521.989,2532.444,10.454999999999927,2260.33,1.3146657215229154,s10115
322,L,32,32,3.101075685628328,0.09375,0.15625,-1.5351422624437636,-0.4576654249953518,0.13543938234372382,0.0690079337407175,239.90625,2,734.0,0.1938172303517704,32,3.101075685628328,2260.8014534883723,-0.0497636629264089,Pluto,5,1,True,True,5475.897,5486.216,5475.454,5486.879,5475.897,5486.216,10.319000000000417,5405.454,1.3332077561790583,s10115
323,L,33,33,3.469301934398592,0.0606060606060606,0.1515151515151515,-0.42174569155650066,-0.1617104261758624,0.9692889696417148,0.2488167160373674,259.7575757575757,0,,,33,3.469301934398592,1569.5373699148531,-0.0450659283050087,Serena Williams,1,9,True,True,1761.301,1770.813,1759.792,1777.311,1761.301,1770.813,9.512000000000173,1214.883,0.925565308689379,s10115
324,L,26,26,3.6573357715571033,0.0769230769230769,0.1538461538461538,-1.0085340809483696,-0.3176862587144601,0.6911192075926516,0.1888330367890903,244.1153846153846,0,,,26,3.6573357715571033,1525.9331926863572,-0.0203097593347595,Serena Williams,1,8,True,True,1701.271,1708.38,1698.633,1710.351,1701.271,1708.38,7.109000000000151,1214.883,0.8998516719641644,s10115
325,L,18,18,3.80469245402682,0.3333333333333333,0.0555555555555555,-2.14026840631082,-0.6185156663887668,1.8694272031374284,0.4429197798620915,219.66666666666663,1,39.0,0.21137180300149,19,4.01606425702831,1660.9076500422657,0.0342234943599177,The Voynich Manuscript,4,9,True,False,5047.202,5051.933,5043.163,5054.448,5047.202,5051.933,4.730999999999767,4449.537,0.9794468938954396,s10115
326,L,48,48,3.487611712562688,0.1041666666666666,0.1666666666666666,0.8428313053829594,0.1744302566880395,-0.2831861370505761,-0.0212631967211984,254.29166666666663,1,69.0,0.072658577345056,48,3.487611712562688,1914.2087329264748,-0.0365550959777904,History of Film,2,6,True,True,2628.337,2642.1,2623.822,2642.978,2628.337,2642.1,13.76299999999992,2260.33,1.128820014577361,s10115
327,L,39,39,3.296981993406113,0.2051282051282051,0.1538461538461538,0.047528100219945545,-0.0369714714110393,0.6155478255735092,0.1725370544148964,270.53846153846155,1,21.0,0.0845379998309259,39,3.296981993406113,1582.7378275570584,-0.0109839758333073,Prisoners Dilemma,3,9,True,True,3950.418,3962.247,3944.304,3962.622,3950.418,3962.247,11.828999999999724,3342.825,0.933349695277837,s10115
328,L,35,35,3.5232534729212106,0.2285714285714285,0.0857142857142857,0.6277412921103092,0.1172565898305396,-0.16485822268000427,0.0042526739091618,245.4857142857143,2,120.5,0.201328769881212,35,3.5232534729212106,1739.8115249119276,0.019573257455771,History of Film,2,5,True,True,2589.99,2599.924,2581.297,2600.362,2589.99,2599.924,9.934000000000196,2260.33,1.0259769674702337,s10115
329,L,30,30,3.183699458771168,0.1666666666666666,0.1,-1.0512416497147234,-0.3290384748019923,0.7874898866770672,0.2096141161578775,275.3,3,42.66666666666666,0.3183699458771168,30,3.183699458771168,1743.1585844651952,0.0392635907895724,Pluto,5,2,True,True,5523.975,5533.398,5512.271,5534.282,5523.975,5533.398,9.422999999999774,5405.454,1.027950747940838,s10115
330,L,23,23,3.910899506886981,0.0869565217391304,0.3043478260869565,-1.018121977968718,-0.3202348439405466,1.471633879428778,0.3571408405529471,216.65217391304347,1,119.0,0.1700391089950861,22,3.740860397891895,1490.7089425365525,-0.0373414637261662,The Voynich Manuscript,4,5,True,True,4810.444,4816.325,4796.457,4817.903,4810.444,4816.325,5.880999999999403,4449.537,0.8790797269387173,s10115
331,L,48,48,3.786683496371116,0.1041666666666666,0.25,-0.8525332743000884,-0.2762192560716917,1.031886066734665,0.2623149631733538,225.1875,2,47.5,0.1577784790154631,48,3.786683496371116,1729.53281542637,0.0601703358913456,History of Film,2,9,True,True,2838.439,2851.115,2823.782,2853.436,2838.439,2851.115,12.67599999999993,2260.33,1.0199155527500192,s10115
332,L,36,36,4.116167390807182,0.0833333333333333,0.2777777777777778,-0.5456306001627648,-0.1946406138008357,1.029965777099327,0.2619008777720455,201.36111111111111,3,44.333333333333336,0.3430139492339318,36,4.116167390807182,1637.1822339087687,0.0483679667596221,Pluto,5,7,True,True,5843.774,5852.52,5828.41,5853.368,5843.774,5852.52,8.746000000000095,5405.454,0.9654558781169652,s10115
333,L,37,37,3.3882783882783656,0.2162162162162162,0.1891891891891892,-0.13372943231947795,-0.085152033693515,0.5104343315158084,0.1498707010852677,255.16216216216216,3,62.66666666666666,0.2747252747252729,37,3.3882783882783656,1552.732625217471,0.0209387938943678,The Voynich Manuscript,4,2,True,True,4603.739,4614.659,4585.184,4618.833,4603.739,4614.659,10.920000000000073,4449.537,0.9156554530775164,s10115
334,L,50,50,3.697404422095651,0.18,0.12,0.004944857726373938,-0.0482906399907233,-0.2305744284640431,-0.009918168313683,234.9,3,69.0,0.221844265325739,50,3.697404422095651,1876.3938923395444,0.0358013931079605,Serena Williams,1,4,True,True,1476.899,1490.422,1455.687,1494.024,1476.899,1490.422,13.523000000000138,1214.883,1.1065203833154558,s10115
