,run,reading,page_num,num_blinks,num_fixations,num_saccades,norm_blink_freq,pupil_slope,mean_pupil_size,mean_blink_duration,norm_pupil_size,norm_num_word_fix,norm_saccade_count,norm_in_word_regression,norm_out_word_regression,zscored_zipf_duration_correlation,zipf_duration_correlation,norm_total_viewing,zscored_word_length_duration_correlation,word_length_duration_correlation,reported_MW,valid_MW,win_start,win_end,task_start,page_start,page_end,win_duration,win_type,sub_id
325,3,History of Film,5,1,34,33,0.1170823088631284,-0.0675910746446131,902.5221014372456,0.082,0.8040470262552887,3.2783046481675977,3.86371619248324,0.088235294117647,0.1470588235294117,1.7510702110730034,0.3516267382776491,0.3173928571428571,-1.1757134227967028,-0.2160955024379515,1,1,3582.573,3591.114,3256.232,3552.204,3597.125,8.541000000000167,MR,s10100
326,3,History of Film,6,4,147,148,0.1004949375675203,-0.0207484702234092,1121.5364110116154,0.066,0.9991644688533098,2.93947692384997,3.718312689998253,0.0952380952380952,0.1156462585034013,-0.8526318606590034,-0.2448091989472571,0.2700512820512821,1.0128618518108656,0.2398469963610606,0,0,,,3256.232,3620.591,3660.394,39.80299999999989,NR,s10100
327,3,History of Film,7,0,23,22,0.0,-0.1785502231308183,1281.8333333333333,0.0,1.1419712361395666,3.3996260411355843,3.739588645249143,0.0869565217391304,0.0869565217391304,0.06597169480594321,-0.034382599648434,0.28845,0.3293023336665799,0.0974421001728596,1,1,3660.893,3666.776,3256.232,3660.554,3668.69,5.882999999999811,MR,s10100
328,3,History of Film,8,7,184,185,0.1462752063525232,-0.0661928648814408,1023.63864309398,0.1421428571428571,0.911948422790998,2.695643088496499,3.865844739316685,0.1141304347826086,0.1521739130434782,-0.1333284031840744,-0.0800367249895175,0.2915426356589147,-0.3382831095365069,-0.041634941712501,0,0,,,3256.232,3705.978,3753.833,47.85500000000002,NR,s10100
329,3,History of Film,9,3,39,38,0.3147293327738245,-0.109416797650733,1091.430082742524,0.096,0.972343071706714,2.517834662190596,3.986571548468444,0.0769230769230769,0.2307692307692307,-0.4895626384225928,-0.1616401089837338,0.3344583333333333,0.10074232196155497,0.0498265467708838,1,1,3758.869,3768.401,3256.232,3753.996,3769.241,9.531999999999698,MR,s10100
330,4,Prisoners Dilemma,0,5,249,250,0.075050283690072,-0.0425041548545299,1380.9828009632383,0.1122,1.2303024077260205,2.4166191348203188,3.752514184503601,0.0803212851405622,0.1726907630522088,0.04813889589761867,-0.0384675993285835,0.3335093167701863,-0.013428888155366865,0.0260414353170635,0,0,,,4348.843,4348.949,4415.571,66.6220000000003,NR,s10100
331,4,Prisoners Dilemma,1,0,31,30,0.0,0.0770935115079783,1127.4770857814335,0.0,1.0044569507493382,3.0573847601129223,3.5277516462841407,0.0967741935483871,0.0967741935483871,0.27634740490795684,0.0138086412720689,0.29,-0.4665877439541965,-0.0683644475707743,1,1,4473.643,4482.147,4348.843,4415.753,4482.766,8.503999999999905,MR,s10100
332,4,Prisoners Dilemma,2,1,54,53,0.0556390140766707,0.0031243581568525,1164.5818858028665,0.121,1.0375132095041322,2.503755633450181,2.948867746063547,0.0925925925925925,0.1111111111111111,0.548778954044231,0.0762151539460164,0.3678666666666667,-0.5167908016097782,-0.0788231728521979,1,1,4522.093,4540.066,4348.843,4498.545,4542.371,17.972999999999956,MR,s10100
333,4,Prisoners Dilemma,3,2,23,22,0.3144654088050476,-0.2832539845967899,984.2420253398376,0.0825,0.8768504087930139,2.358490566037857,3.459119496855524,0.2608695652173913,0.1304347826086956,0.5699512169008126,0.0810651322047183,0.3551333333333333,-0.6456810910489545,-0.1056746873144379,1,1,4571.121,4577.481,4348.843,4557.552,4578.158,6.359999999999673,MR,s10100
334,4,Prisoners Dilemma,4,2,18,17,0.431406384814456,0.1141238822440548,1210.3140464322928,0.0795,1.0782554890558051,2.372735116479508,3.666954270922876,0.0555555555555555,0.2777777777777778,0.16645818874594273,-0.0113639306377818,0.4563636363636364,0.6375000196297821,0.16164844696499,1,0,4621.048,4625.684,4348.843,4620.176,4626.886,4.636000000000422,,s10100
335,4,Prisoners Dilemma,5,1,28,27,0.1332445036642219,0.0101129577178123,791.3220988535338,0.068,0.704980165449741,2.931379080612882,3.597601598933992,0.1071428571428571,0.1785714285714285,1.1126388144945607,0.2053798106793742,0.3073181818181817,-0.5125259840173428,-0.0779346900055818,1,1,4705.338,4712.843,4348.843,4693.432,4713.069,7.505000000000109,MR,s10100
336,4,Prisoners Dilemma,6,2,15,14,0.5261773217575048,-0.1791532900647198,1199.3398294842923,0.013,1.068478679725077,3.1570639305450285,3.683241252302533,0.0666666666666666,0.2,0.24001869408612073,0.0054867411121244,0.30325,-1.436015016925682,-0.2703237305667801,1,0,4738.586,4742.387,4348.843,4736.568,4745.281,3.800999999999476,,s10100
337,4,Prisoners Dilemma,7,9,161,162,0.2091369614723259,-0.027287230425003,1008.3471203402472,0.0936666666666666,0.8983253731421591,2.7420179393038286,3.7644653065018665,0.1055900621118012,0.1366459627329192,0.4363517600816559,0.0504612017067616,0.2847118644067796,0.1702680974803669,0.0643107439510198,0,0,,,4348.843,4763.965,4806.999,43.03399999999965,NR,s10100
338,4,Prisoners Dilemma,8,2,18,17,0.42680324370468,0.2506131160881827,839.7609517410722,0.119,0.7481338074020214,3.2010243277851,3.62782757148978,0.0555555555555555,0.1111111111111111,0.847175803700984,0.1445695968841036,0.2507333333333333,-0.3078498047704627,-0.03529481844476,1,0,4844.233,4848.919,4348.843,4807.166,4853.44,4.685999999999694,,s10100
339,4,Prisoners Dilemma,9,6,164,165,0.1377125938167032,-0.0803312894647161,978.9965388518128,0.096,0.8721772625008155,2.800156074272965,3.7870963299593385,0.0670731707317073,0.1585365853658536,-0.05555982719582723,-0.0622221009548477,0.2816065573770491,0.3117576411348953,0.0937870415388855,0,0,,,4348.843,4868.682,4912.251,43.569000000000415,NR,s10100
340,5,The Voynich Manuscript,0,5,206,207,0.0888020602077978,-0.070250488483114,1162.52399323422,0.0794,1.0356798556200135,2.397655625610541,3.676405292602829,0.0776699029126213,0.174757281553398,0.3449188121447725,0.0295164490071201,0.3429037037037037,-0.32978782510147703,-0.0398651322578043,0,0,,,5298.677,5298.779,5355.084,56.30499999999938,NR,s10100
341,5,The Voynich Manuscript,1,0,11,10,0.0,-0.1830989535349962,1101.9592875318067,0.0,0.9817234245935562,2.038216560509932,2.547770700637415,0.1818181818181818,0.0909090909090909,1.4798417147117517,0.2894958116306868,0.58525,-1.6450149504069569,-0.3138643631535969,1,0,5386.363,5390.288,5298.677,5355.267,5407.011,3.924999999999272,,s10100
342,5,The Voynich Manuscript,2,0,13,12,0.0,0.8799397780529897,1087.9243243243243,0.0,0.9692198300415692,2.1639166892073973,3.245875033811096,0.1538461538461538,0.1538461538461538,-0.03037533836281712,-0.0564530329943746,0.412,-0.16683510455572884,-0.0059174442555958,1,0,5435.46,5439.157,5298.677,5413.609,5443.016,3.697000000000117,,s10100
343,5,The Voynich Manuscript,3,1,31,30,0.1151808339092282,-0.1714155514866336,1113.563735519544,0.089,0.9920616998347006,2.6491591799122496,3.455425017276847,0.0967741935483871,0.1612903225806451,0.29996179015617946,0.0192180420443103,0.3311304347826087,0.24907298504356826,0.0807280441782573,1,1,5465.949,5474.631,5298.677,5458.492,5475.051,8.682000000000698,MR,s10100
344,5,The Voynich Manuscript,4,2,14,13,0.5443658138268949,-0.4502034669911015,1194.5323479910328,0.068,1.0641957472713708,3.5383777898748168,3.5383777898748168,0.0714285714285714,0.0,0.6501395400065967,0.0994340531981547,0.2416153846153846,0.12391046926966486,0.0546531310326919,1,0,5523.611,5527.285,5298.677,5520.292,5532.44,3.673999999999978,,s10100
345,5,The Voynich Manuscript,5,0,4,3,0.0,0.0677383997077154,1120.855072463768,0.0,0.9985574718253174,2.9197080291953745,4.379562043793062,0.0,0.25,-2.788411851018308,-0.6882427105406714,0.501,3.165211711449844,0.6882427105406715,1,0,5619.655,5620.34,5298.677,5578.71,5620.918,0.6850000000004002,,s10100
346,5,The Voynich Manuscript,6,1,17,16,0.2306273062730499,-0.1895503345342824,1035.766728979971,0.095,0.9227532012837028,3.459409594095749,3.690036900368799,0.0588235294117647,0.1764705882352941,0.4777777133872151,0.0599507387599777,0.2896,-0.9307181013123382,-0.1650560063933487,1,0,5650.348,5654.684,5298.677,5631.613,5664.457,4.33600000000024,,s10100
347,5,The Voynich Manuscript,7,0,5,4,0.0,0.9771951349621224,1059.0673076923076,0.0,0.9435114309091568,4.8169556840055465,3.853564547204437,0.0,0.2,1.9839183751926655,0.4049657951941825,0.2536,-1.049426551042285,-0.1897863539515947,1,0,5723.244,5724.282,5298.677,5685.356,5725.112,1.0380000000004657,,s10100
348,5,The Voynich Manuscript,8,2,22,21,0.3797949107482232,-0.1435984391191115,1043.348360789671,0.101,0.9295075937811764,3.608051652108121,3.987846562856344,0.0454545454545454,0.0909090909090909,2.2916596037591055,0.4754607761966253,0.2161052631578947,-2.5477551572030688,-0.5019308328923449,1,1,5757.75,5763.016,5298.677,5732.501,5765.072,5.265999999999622,MR,s10100
349,5,The Voynich Manuscript,9,0,4,3,0.0,0.8909227614490874,1091.5657894736842,0.0,0.9724639713428098,2.624671916008344,3.937007874012515,0.25,0.25,,,0.683,,,1,0,5811.231,5811.993,5298.677,5776.376,5813.375,0.7620000000006257,,s10100
350,1,The Voynich Manuscript,0,14,215,216,0.2591201021673546,0.0531505448960062,1099.8933770919034,0.0925714285714285,1.0530870473009937,2.591201021673546,3.997853004867757,0.2232558139534883,0.1441860465116279,0.06407442886308852,-0.0348172106598385,0.3159071428571428,-0.5355689184162259,-0.0827351888558543,0,0,,,2482.071,2482.16,2536.189,54.029,NR,s10081
351,1,The Voynich Manuscript,1,2,38,39,0.2176515398846374,-0.1869939162558777,1110.5337917984632,0.072,1.0632746556080963,2.938295788442605,4.24420502775043,0.0526315789473684,0.3157894736842105,1.7831385662228911,0.3589727091038586,0.2668148148148148,-1.3157148600881614,-0.2452617851309544,0,0,,,2482.071,2536.361,2545.55,9.189000000000306,NR,s10081
352,1,The Voynich Manuscript,2,2,23,22,0.3693444136657147,0.075824389852172,1395.1755525630724,0.046,1.335803391233997,2.5854108956600035,4.062788550322862,0.3478260869565217,0.217391304347826,1.0241646543142573,0.1851128341999096,0.4120714285714286,-1.3715519989111804,-0.2568942498198007,1,1,2552.037,2557.452,2482.071,2545.719,2559.822,5.415000000000418,MR,s10081
353,1,The Voynich Manuscript,3,17,221,222,0.3167269068822895,0.0225484856073434,1029.3843980711354,0.0907647058823529,0.9855786014173484,2.589708238625779,4.136080783992251,0.1809954751131221,0.1538461538461538,0.0777252846909313,-0.0316901781633035,0.3133381294964029,-0.36637656019512743,-0.047487606796399,0,0,,,2482.071,2615.371,2669.045,53.67399999999998,NR,s10081
354,1,The Voynich Manuscript,4,0,10,9,0.0,1.5531251534963162,1245.089622641509,0.0,1.1921044181567946,4.253308128544453,4.253308128544453,0.0,0.2,0.6397443815710364,0.0970528106852621,0.2987777777777778,0.5390693647716731,0.1411425410200933,1,0,2708.815,2710.931,2482.071,2669.22,2713.82,2.115999999999985,,s10081
355,1,The Voynich Manuscript,5,2,9,8,0.6901311249137007,0.2466426090306122,1060.7849087154975,0.1455,1.0156428528501962,1.7253278122842517,2.7605244996548026,0.1111111111111111,0.3333333333333333,0.6981501054097302,0.1104319422745601,0.4903999999999999,-0.6817189723895588,-0.1131824033434439,1,0,2761.854,2764.752,2482.071,2731.828,2765.203,2.8980000000001382,,s10081
356,1,The Voynich Manuscript,6,1,10,9,0.4470272686633724,-0.4580051324041851,932.560176050283,0.068,0.8928747664831416,3.1291908806436077,4.023245417970352,0.2,0.2,-2.5073817918639847,-0.6238665176805646,0.3264285714285714,2.1490874115687797,0.4765551082208281,1,0,2791.124,2793.361,2482.071,2782.449,2795.33,2.23700000000008,,s10081
357,1,The Voynich Manuscript,7,1,16,15,0.2350728725905082,0.4184601467500688,1089.9845985086924,0.195,1.0435999400978004,2.5858015984955918,3.5260930888576243,0.25,0.1875,-0.9229504865507591,-0.2609172460212519,0.4263636363636364,0.889391122809905,0.2141245305348267,1,0,2869.873,2874.127,2482.071,2834.39,2875.402,4.253999999999905,,s10081
358,1,The Voynich Manuscript,8,16,196,197,0.3470866415028855,0.0196218338936674,1060.01074325562,0.1185625,1.0149016322598692,2.9502364527745266,4.273504273504278,0.1428571428571428,0.1785714285714285,0.6014269671451605,0.088275353681539,0.266485294117647,-0.34173348942239345,-0.0423537540125527,0,0,,,2482.071,2887.28,2933.378,46.09799999999996,NR,s10081
359,1,The Voynich Manuscript,9,3,28,27,0.4775549188156867,0.0866567607658602,1067.9807669446502,0.1596666666666666,1.022532488930532,2.8653295128941205,4.297994269341181,0.25,0.1785714285714285,1.495089965803678,0.2929887630823112,0.303,-1.286774719493022,-0.2392327304433524,1,1,2965.391,2971.673,2482.071,2933.55,2978.339,6.281999999999698,MR,s10081
360,2,History of Film,0,1,5,4,1.1273957158960624,0.1399051945952983,1090.4131001985052,0.113,1.0440102067551755,4.509582863584249,4.509582863584249,0.2,0.2,4.577489471279913,0.999081006857095,0.22875,-2.7138818140667538,-0.5365397421340597,1,0,3267.895,3268.782,3253.594,3253.713,3270.938,0.887000000000171,,s10081
361,2,History of Film,1,1,8,7,0.3872966692486624,1.7311255665982814,1682.8806224368018,0.134,1.61126507582739,2.7110766847406373,2.7110766847406373,0.125,0.5,2.6348174173377354,0.5540687146316362,0.3272857142857143,-2.677652796593426,-0.5289922070104237,1,0,3319.011,3321.593,3253.594,3318.937,3322.702,2.58199999999988,,s10081
362,2,History of Film,2,0,5,4,0.0,4.008297845989693,1419.6296296296296,0.0,1.3592168168885637,4.608294930875421,3.6866359447003374,0.0,0.8,-0.4967210438308168,-0.1632799011416168,0.4247999999999999,0.2461728099446597,0.080123855189698,1,0,3360.247,3361.332,3253.594,3359.796,3365.283,1.0850000000000364,,s10081
363,2,History of Film,3,0,10,9,0.0,-0.1227293608780795,1178.6911764705883,0.0,1.128531580025534,1.9627085377825668,4.416094210010775,0.3,0.2,1.8639537203940404,0.3774852197107196,0.5397500000000001,-1.8981473728671268,-0.3665990488473443,1,0,3457.702,3459.74,3253.594,3421.66,3462.626,2.037999999999556,,s10081
364,2,History of Film,4,0,3,2,0.0,3.075757575757581,1033.7111111111112,0.0,0.9897211897397128,6.802721088438404,4.53514739229227,0.0,0.3333333333333333,-4.149367906449155,-1.0,0.259,-2.090987972916126,-0.4067732325166756,1,0,3495.574,3496.015,3253.594,3471.733,3498.0,0.4409999999998035,,s10081
365,2,History of Film,5,1,10,9,0.4987531172069554,1.3547747718988712,973.1821245072324,0.073,0.931768034364477,4.488778054862599,4.488778054862599,0.1,0.2,0.055239678666602156,-0.0368410069193253,0.2055555555555555,-0.9957665418133542,-0.178607447300644,1,0,3531.812,3533.817,3253.594,3520.946,3536.362,2.005000000000109,,s10081
366,2,History of Film,6,11,176,177,0.2791665609217554,0.0162386768752707,983.4371827349833,0.1052727272727272,0.9415866851663532,3.1723472832017667,4.492043753013702,0.1306818181818181,0.1818181818181818,-0.4137496613956138,-0.1442734584372612,0.24612,0.29408380637300024,0.0901050789040183,0,0,,,3253.594,3568.426,3607.829,39.40300000000025,NR,s10081
